EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,TabNet,SDSS,0.005,1,CLEAN_OOB,0.9888,0.9996650851241976
1,TabNet,SDSS,0.005,1,CLEAN_OOB,0.9899,0.9992743511024281
2,TabNet,SDSS,0.005,1,CLEAN_OOB,0.98875,1.0
3,TabNet,SDSS,0.005,1,CLEAN_OOB,0.98935,0.9998883617080658
4,TabNet,SDSS,0.005,1,CLEAN_OOB,0.98885,0.9508233324030142
0,TabNet,SDSS,0.01,1,CLEAN_OOB,0.98795,0.9990510745185599
1,TabNet,SDSS,0.01,1,CLEAN_OOB,0.98915,0.9998883617080658
2,TabNet,SDSS,0.01,1,CLEAN_OOB,0.9888,0.9997767234161318
3,TabNet,SDSS,0.01,1,CLEAN_OOB,0.9889,0.9942506279653921
4,TabNet,SDSS,0.01,1,CLEAN_OOB,0.98785,0.9689087356963438
0,TabNet,SDSS,0.025,1,CLEAN_OOB,0.989,0.9999441808540329
1,TabNet,SDSS,0.025,1,CLEAN_OOB,0.98925,0.9964833938040748
2,TabNet,SDSS,0.025,1,CLEAN_OOB,0.9889,0.9997209042701647
3,TabNet,SDSS,0.025,1,CLEAN_OOB,0.9886,0.9957019257605358
4,TabNet,SDSS,0.025,1,CLEAN_OOB,0.98855,0.994194808819425
0,TabNet,SDSS,0.05,1,CLEAN_OOB,0.98735,0.9854312029025956
1,TabNet,SDSS,0.05,1,CLEAN_OOB,0.9897,0.9984928830588892
2,TabNet,SDSS,0.05,1,CLEAN_OOB,0.9858,0.9802958414736255
3,TabNet,SDSS,0.05,1,CLEAN_OOB,0.988,0.993301702483952
4,TabNet,SDSS,0.05,1,CLEAN_OOB,0.9894,0.99581356405247
0,TabNet,SDSS,0.075,1,CLEAN_OOB,0.9867,0.9244766955065588
1,TabNet,SDSS,0.075,1,CLEAN_OOB,0.9891,0.9929667876081496
2,TabNet,SDSS,0.075,1,CLEAN_OOB,0.9881,1.0
3,TabNet,SDSS,0.075,1,CLEAN_OOB,0.98905,1.0
4,TabNet,SDSS,0.075,1,CLEAN_OOB,0.98385,0.8547585821936924
0,TabNet,SDSS,0.1,1,CLEAN_OOB,0.9882,1.0
1,TabNet,SDSS,0.1,1,CLEAN_OOB,0.9883,0.999106893664527
2,TabNet,SDSS,0.1,1,CLEAN_OOB,0.98805,0.9997209042701647
3,TabNet,SDSS,0.1,1,CLEAN_OOB,0.98865,0.9999441808540329
4,TabNet,SDSS,0.1,1,CLEAN_OOB,0.98855,0.9999441808540329
0,SAINT,SDSS,0.001,1,CLEAN_OOB,0.07596985816955566,0.9896999359130859
1,SAINT,SDSS,0.001,1,CLEAN_OOB,0.2531956481933594,0.992199935913086
2,SAINT,SDSS,0.001,1,CLEAN_OOB,0.40033493041992185,0.9906500244140625
3,SAINT,SDSS,0.001,1,CLEAN_OOB,0.05637733459472656,0.9914499664306641
4,SAINT,SDSS,0.001,1,CLEAN_OOB,0.3665085220336914,0.9905500030517578
0,SAINT,SDSS,0.01,1,CLEAN_OOB,0.07887245178222656,0.9897499847412109
1,SAINT,SDSS,0.01,1,CLEAN_OOB,0.15858219146728517,0.9915999603271485
2,SAINT,SDSS,0.01,1,CLEAN_OOB,0.3387664031982422,0.9910499572753906
3,SAINT,SDSS,0.01,1,CLEAN_OOB,0.031035444736480712,0.9913999938964844
4,SAINT,SDSS,0.01,1,CLEAN_OOB,0.3080658531188965,0.9903999328613281
0,SAINT,SDSS,0.05,1,CLEAN_OOB,0.052525815963745115,0.9896499633789062
1,SAINT,SDSS,0.05,1,CLEAN_OOB,0.26246162414550783,0.9916999816894532
